Gene,Z-Score
Gene_1,0.07883776
Gene_2,0.562897483
Gene_3,0.341101953
Gene_4,-1.277914198
Gene_5,-0.186220302
Gene_6,0.652779549
Gene_7,0.418040322
Gene_8,-0.781870421
Gene_9,0.415903474
Gene_10,0.914889252
Gene_11,-0.976299036
Gene_12,-1.960233739
Gene_13,1.774063386
Gene_14,0.315334914
Gene_15,-0.457291829
Gene_16,-0.491555295
Gene_17,0.146790538
Gene_18,1.041018411
Gene_19,-1.509788137
Gene_20,-0.40094456
Gene_21,1.65396742
Gene_22,0.824618956
Gene_23,0.739307721
Gene_24,0.407696511
Gene_25,0.310481277
Gene_26,-0.468175104
Gene_27,-0.558216518
Gene_28,0.806132448
Gene_29,-0.539607564
Gene_30,0.283832582
Gene_31,0.151735491
Gene_32,2.191887582
Gene_33,-0.160422296
Gene_34,1.168463312
Gene_35,0.707305106
Gene_36,-0.117242887
Gene_37,-1.243987336
Gene_38,-0.052963558
Gene_39,0.899236427
Gene_40,-1.22481758
Gene_41,0.835709502
Gene_42,1.34288687
Gene_43,0.09600707
Gene_44,0.913696701
Gene_45,0.140254483
Gene_46,0.571381441
Gene_47,1.493580286
Gene_48,-1.55397595
Gene_49,-0.765218893
Gene_50,1.250681438
Gene_51,1.435120591
Gene_52,-1.407925937
Gene_53,1.562303598
Gene_54,-2.572139416
Gene_55,0.625589519
Gene_56,0.218794285
Gene_57,-0.733112642
Gene_58,-0.671546124
Gene_59,-0.634683708
Gene_60,-0.204152421
Gene_61,1.986035375
Gene_62,0.823103637
Gene_63,1.43440413
Gene_64,-0.322077155
Gene_65,0.230258924
Gene_66,-1.071594637
Gene_67,-0.278444721
Gene_68,-0.552499577
Gene_69,0.488639224
Gene_70,-0.70685439
Gene_71,-0.836864932
Gene_72,0.396350919
Gene_73,-0.053516967
Gene_74,-0.700534059
Gene_75,-0.846644131
Gene_76,-0.700869776
Gene_77,0.814614527
Gene_78,0.417528142
Gene_79,-0.755177125
Gene_80,-0.715390821
Gene_81,-1.147333302
Gene_82,-0.393258266
Gene_83,0.122954253
Gene_84,-0.878941341
Gene_85,2.18731356
Gene_86,0.623782435
Gene_87,-0.032175543
Gene_88,0.085072625
Gene_89,-1.391404578
Gene_90,-1.199027758
Gene_91,1.322892114
Gene_92,1.635098829
Gene_93,-2.21539143
Gene_94,0.470384162
Gene_95,1.381638503
Gene_96,-0.3417421
Gene_97,1.519343531
Gene_98,0.76734757
Gene_99,0.450910199
Gene_100,-0.244658031
Gene_101,0.092109923
Gene_102,-0.447413997
Gene_103,0.296457163
Gene_104,0.252803934
Gene_105,-0.434287642
Gene_106,-1.947034364
Gene_107,-0.194988096
Gene_108,-1.017873257
Gene_109,-1.120872268
Gene_110,-0.689998143
Gene_111,0.826882378
Gene_112,-1.111131235
Gene_113,-0.887412216
Gene_114,0.706773799
Gene_115,-0.76564669
Gene_116,-1.127200004
Gene_117,0.80883643
Gene_118,-0.129465521
Gene_119,0.065339928
Gene_120,-0.223867791
Gene_121,0.423308611
Gene_122,0.685472961
Gene_123,-0.122986574
Gene_124,-1.498146413
Gene_125,0.29748138
Gene_126,-0.340006247
Gene_127,0.857284777
Gene_128,-0.895610871
Gene_129,-0.314394655
Gene_130,-1.481866851
Gene_131,0.78315554
Gene_132,1.225349792
Gene_133,-0.487997756
Gene_134,-0.194081814
Gene_135,-0.809679145
Gene_136,-0.713254297
Gene_137,0.693560707
Gene_138,-0.504151633
Gene_139,0.475149938
Gene_140,-0.01523004
Gene_141,0.750562319
Gene_142,-0.392398365
Gene_143,1.085309581
Gene_144,1.875450677
Gene_145,-1.700349821
Gene_146,-0.09216933
Gene_147,-0.092782137
Gene_148,-0.715712947
Gene_149,0.407507754
Gene_150,1.120597231
